代码,name,ts_code,exchange,最新价,cats,命中数
603131,上海沪工,603131.SH,SSE,24.25,['机器人'],1
603135,中重科技,603135.SH,SSE,12.46,['机器人'],1
603150,万朗磁塑,603150.SH,SSE,72.8,['智能驾驶'],1
603160,汇顶科技,603160.SH,SSE,66.93,['大模型'],1
603166,福达股份,603166.SH,SSE,14.67,['机器人'],1
603171,税友股份,603171.SH,SSE,62.3,['大模型'],1
603190,亚通精工,603190.SH,SSE,28.36,['智能驾驶'],1
603194,中力股份,603194.SH,SSE,37.64,['机器人'],1
603197,保隆科技,603197.SH,SSE,34.97,['智能驾驶'],1
603206,嘉环科技,603206.SH,SSE,17.55,['数字经济'],1
603219,富佳股份,603219.SH,SSE,17.11,['机器人'],1
603258,电魂网络,603258.SH,SSE,16.56,['AIGC'],1
603262,技源集团,603262.SH,SSE,25.95,['大模型'],1
603296,华勤技术,603296.SH,SSE,110.73,['机器人'],1
603297,永新光学,603297.SH,SSE,137.4,['智能驾驶'],1
603298,杭叉集团,603298.SH,SSE,29.54,['机器人'],1
603305,旭升集团,603305.SH,SSE,16.49,['机器人'],1
603306,华懋科技,603306.SH,SSE,108.03,['CPO'],1
603315,福鞍股份,603315.SH,SSE,19.12,['算力租赁'],1
603331,百达精工,603331.SH,SSE,16.28,['机器人'],1
603338,浙江鼎力,603338.SH,SSE,56.48,['机器人'],1
603344,星德胜,603344.SH,SSE,28.68,['机器人'],1
603350,安乃达,603350.SH,SSE,35.74,['机器人'],1
603352,至信股份,603352.SH,SSE,36.51,['机器人'],1
603368,柳药集团,603368.SH,SSE,16.98,['大模型'],1
603375,盛景微,603375.SH,SSE,47.43,['机器人'],1
603376,大明电子,603376.SH,SSE,31.0,['智能驾驶'],1
603380,易德龙,603380.SH,SSE,37.59,['机器人'],1
603381,永臻股份,603381.SH,SSE,25.01,['机器人'],1
603386,骏亚科技,603386.SH,SSE,15.17,['机器人'],1
603416,信捷电气,603416.SH,SSE,62.69,['机器人'],1
603458,勘设股份,603458.SH,SSE,13.1,['智能驾驶'],1
603501,豪威集团,603501.SH,SSE,102.77,['智能驾驶'],1
603506,南都物业,603506.SH,SSE,13.4,['机器人'],1
603507,振江股份,603507.SH,SSE,44.55,['机器人'],1
603508,思维列控,603508.SH,SSE,26.61,['智能驾驶'],1
